Day fraction since midnight on 10/27/2019	Pressure Sensor (volts)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.00787957	0.00739345	0.60310972	844.93927002	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00793744	0.00744918	0.60308367	888.64721680	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00799531	0.00740342	0.60355455	917.93182373	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00805318	0.00743599	0.60338205	931.70861816	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00811105	0.00739813	0.60308737	934.11572266	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00816892	0.00746301	0.60325581	932.96160889	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00822679	0.00740587	0.60341167	918.58062744	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00828467	0.00742978	0.60314226	893.20410156	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00834254	0.00745650	0.60324419	867.81475830	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00840041	0.00742036	0.60257256	871.42681885	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00845828	0.00745971	0.60259342	891.23602295	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00851615	0.00743290	0.60279614	901.57714844	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00857402	0.00748910	0.60278523	906.52319336	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00863190	0.00746453	0.60310155	924.14721680	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00868976	0.00746765	0.60275352	931.17010498	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00874763	0.00739716	0.60259688	907.98577881	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00880550	0.00751942	0.60268176	878.85607910	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00886338	0.00738424	0.60220283	868.33807373	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00892126	0.00749589	0.60236776	870.85565186	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00897912	0.00741495	0.60215527	883.62432861	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00903699	0.00749434	0.60270268	907.63867187	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00909487	0.00742807	0.60262704	923.34222412	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00915274	0.00750762	0.60276359	921.27648926	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00921060	0.00738499	0.60256428	904.88012695	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00926847	0.00754351	0.60266179	891.51586914	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00932634	0.00737900	0.60290700	906.94622803	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00938421	0.00752455	0.60216469	935.51312256	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00944208	0.00741669	0.60201168	942.31201172	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00949996	0.00751181	0.60210556	930.86968994	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00955783	0.00745352	0.60128224	900.16296387	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00961571	0.00749955	0.60090733	866.77825928	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00967358	0.00743525	0.60123354	840.07714844	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00973145	0.00754612	0.60292709	831.71252441	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00978931	0.00741348	0.60215700	849.00085449	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00984718	0.00750725	0.60096204	865.94366455	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00990505	0.00746879	0.60024953	898.35827637	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00996293	0.00748343	0.60041225	920.95385742	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01002079	0.00748422	0.60013783	950.81207275	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01007867	0.00746502	0.60002506	953.14959717	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01013654	0.00746158	0.60080308	931.03784180	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01019441	0.00749992	0.60053569	903.49365234	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01025228	0.00745975	0.60019344	890.25439453	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01031016	0.00745708	0.60059017	872.53393555	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01036802	0.00753151	0.60018045	862.56481934	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01042589	0.00744657	0.60051310	860.42370605	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01048376	0.00753534	0.60015720	888.84600830	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01054162	0.00746274	0.59983003	932.08953857	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01059949	0.00753565	0.60042197	973.22827148	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01065736	0.00749296	0.60080820	975.25042725	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01071526	0.00753964	0.60064101	946.16601562	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01077313	0.00747616	0.60131931	921.77276611	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.01083098	0.00758690	0.60083312	907.88751221	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
