Day fraction since midnight on 10/26/2019	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.44960122	0.56788421	-999.00000000	0.30052811	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44965898	0.56113064	-999.00000000	0.32699304	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44971674	0.56109214	-999.00000000	0.35294537	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44977452	0.56091523	-999.00000000	0.37795454	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44983228	0.56459856	-999.00000000	0.40323027	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44989004	0.57219404	-999.00000000	0.42881866	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44994780	0.57099748	-999.00000000	0.45561164	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45000556	0.56603199	-999.00000000	0.48107189	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45006332	0.56099850	-999.00000000	0.50671668	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45012109	0.55891585	-999.00000000	0.53127477	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45017885	0.56051844	-999.00000000	0.55798574	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45023661	0.56121022	-999.00000000	0.58416361	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45029439	0.55957675	-999.00000000	0.60974757	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45035214	0.55790627	-999.00000000	0.63352654	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45040991	0.55704719	-999.00000000	0.65958138	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45046767	0.55739146	-999.00000000	0.68594379	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45052543	0.56090796	-999.00000000	0.71155268	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45058319	0.56869853	-999.00000000	0.73742301	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45064096	0.57000339	-999.00000000	0.76249370	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45069872	0.57011765	-999.00000000	0.78897912	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45075648	0.57088041	-999.00000000	0.81495195	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45081424	0.57582808	-999.00000000	0.83987911	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45087202	0.62237954	-999.00000000	0.86425269	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45092977	0.65310466	-999.00000000	0.89147624	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45098754	0.63749367	-999.00000000	0.91738757	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45104530	0.61500037	-999.00000000	0.94194567	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45110306	0.59862238	-999.00000000	0.96822606	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45116084	0.60160512	-999.00000000	0.99447057	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45121859	0.60554069	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45127636	0.59799182	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45133411	0.58708966	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45139188	0.58392429	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45144963	0.57995617	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45150740	0.57119673	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45156516	0.56198722	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45162292	0.55599225	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45168079	0.56015837	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45173864	0.59497422	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45179651	0.60404938	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45185438	0.59671837	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45191225	0.58461303	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45197012	0.57237554	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45202799	0.57638353	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.45208587	0.58989638	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
